INFO:root:So should this
WARNING:root:And this, too
WARNING:root:Starting heatstop
04/28/20:10:57:44,844 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:51,628 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:57:58,438 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:05,221 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:12,37 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:18,837 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:25,681 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:32,421 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:39,245 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:46,24 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:52,839 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:58:59,704 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:06,525 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:13,300 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:20,199 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:26,984 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:33,799 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:40,664 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:47,482 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:59:54,264 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:01,78 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:07,892 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:14,683 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:21,468 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:28,281 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:35,70 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:41,880 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:48,665 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:00:56,344 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:03,166 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:09,944 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:16,749 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:23,545 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:30,363 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:37,142 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:43,962 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:50,748 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:01:57,560 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:04,341 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:11,150 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:17,943 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:24,745 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:31,547 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:38,367 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:45,144 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:51,968 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:02:58,748 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:03:05,565 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:03:12,346 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:19,167 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:25,946 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:33,657 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:40,427 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:47,226 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:03:54,28 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:04:00,822 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:07,653 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:04:14,674 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:21,248 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:28,33 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:04:34,843 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:41,638 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:48,440 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:04:55,225 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:02,44 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:08,825 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:15,656 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:22,426 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:29,715 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:05:36,28 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:42,844 root WARNING Water temp = 75.65f TOO HOT
04/28/20:11:05:49,661 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:05:56,448 root WARNING Water temp = 75.54f TOO HOT
04/28/20:11:06:03,226 root WARNING Water temp = 75.54f TOO HOT
